Agemos,Male_L,Male_M,Male_S,Female_L,Female_M,Female_S
24,-2.01118107,16.57502768,0.080592465,-0.98660853,16.42339664,0.085451785
24.5,-1.982373595,16.54777487,0.080127429,-1.024496827,16.38804056,0.085025838
25,-1.953236882,16.52110125,0.079680711,-1.06359759,16.35350623,0.084619945
25.5,-1.924100169,16.49442763,0.079233994,-1.102698353,16.3189719,0.084214052
26,-1.89479905,16.46851158,0.078811675,-1.143332352,16.28552587,0.083834588
26.5,-1.86549793,16.44259552,0.078389356,-1.18396635,16.25207985,0.083455124
27,-1.836379915,16.41741946,0.077991429,-1.226018693,16.21971327,0.083101704
27.5,-1.807261899,16.3922434,0.077593501,-1.268071036,16.18734669,0.082748284
28,-1.778690402,16.36778997,0.077219982,-1.311411281,16.15605058,0.082420511
28.5,-1.750118905,16.34333654,0.076846462,-1.354751525,16.12475448,0.082092737
29,-1.722467373,16.31958876,0.076497385,-1.399220609,16.09452105,0.081790227
29.5,-1.69481584,16.29584097,0.076148308,-1.443689692,16.06428762,0.081487717
30,-1.66846131,16.27278234,0.075823717,-1.489115806,16.03510882,0.081210083
30.5,-1.642106779,16.24972371,0.075499126,-1.53454192,16.00593001,0.080932448
31,-1.617425597,16.2273382,0.07519906,-1.580735007,15.97779816,0.080679312
31.5,-1.592744414,16.20495268,0.074898994,-1.626928093,15.94966631,0.080426175
32,-1.570093403,16.1832257,0.074623495,-1.673681461,15.92257414,0.080197176
32.5,-1.547442391,16.16149871,0.074347997,-1.720434829,15.89548197,0.079968176
33,-1.527172496,16.14041565,0.074097068,-1.767535046,15.86942188,0.079762955
33.5,-1.506902601,16.11933258,0.073846139,-1.814635262,15.84336179,0.079557735
34,-1.489336324,16.09888008,0.073619754,-1.861855762,15.81832662,0.079375961
34.5,-1.471770047,16.07842758,0.07339337,-1.909076262,15.79329146,0.079194187
35,-1.457199502,16.05859327,0.07319146,-1.956186182,15.76927393,0.079035541
35.5,-1.442628957,16.03875896,0.072989551,-2.003296102,15.7452564,0.078876895
36,-1.431310106,16.01953149,0.072811992,-2.05006252,15.72224914,0.078741075
36.5,-1.419991255,16.00030401,0.072634432,-2.096828937,15.69924188,0.078605255
37,-1.412134437,15.98167339,0.072481041,-2.143020407,15.67723735,0.078491976
37.5,-1.404277619,15.96304277,0.072327649,-2.189211877,15.65523282,0.078378696
38,-1.400070395,15.94499847,0.072198145,-2.23460193,15.63422327,0.078287685
38.5,-1.39586317,15.92695418,0.07206864,-2.279991982,15.61321371,0.078196674
39,-1.395399211,15.90949,0.071962723,-2.324362466,15.59319107,0.078127671
39.5,-1.394935252,15.89202582,0.071856805,-2.368732949,15.57316843,0.078058667
40,-1.398303424,15.87513337,0.071774042,-2.411877132,15.55412431,0.078011418
40.5,-1.401671596,15.85824093,0.071691278,-2.455021314,15.53508019,0.077964169
41,-1.408885954,15.84191458,0.071631186,-2.496746643,15.51700582,0.077938426
41.5,-1.416100312,15.82558822,0.071571093,-2.538471972,15.49893145,0.077912684
42,-1.427132606,15.80982275,0.071533103,-2.578602437,15.48181765,0.0779082
42.5,-1.438164899,15.79405728,0.071495113,-2.618732901,15.46470384,0.077903716
43,-1.452916966,15.77884992,0.07147861,-2.657110937,15.44854101,0.077920239
43.5,-1.467669032,15.76364255,0.071462106,-2.695488973,15.43237817,0.077936763
44,-1.48602269,15.74898962,0.071466376,-2.731976895,15.41715627,0.077974036
44.5,-1.504376347,15.73433668,0.071470646,-2.768464816,15.40193436,0.078011309
45,-1.526159593,15.72023617,0.071494932,-2.802945755,15.38764295,0.078069063
45.5,-1.547942838,15.70613566,0.071519218,-2.837426693,15.37335154,0.078126817
46,-1.572919618,15.69258814,0.071562747,-2.869802449,15.35997998,0.078204778
46.5,-1.597896397,15.67904062,0.071606277,-2.902178205,15.34660842,0.078282739
47,-1.62581434,15.66604627,0.071668222,-2.932379296,15.33414511,0.078380594
47.5,-1.653732283,15.65305192,0.071730167,-2.962580386,15.32168181,0.078478449
48,-1.684300815,15.6406123,0.07180969,-2.990551187,15.31011539,0.078595887
48.5,-1.714869347,15.62817269,0.071889214,-3.018521987,15.29854897,0.078713325
49,-1.747771264,15.61629034,0.071985475,-3.044229271,15.28786758,0.078850009
49.5,-1.780673181,15.604408,0.072081737,-3.069936555,15.27718618,0.078986694
50,-1.815570827,15.59308629,0.072193909,-3.09336621,15.26737769,0.079142267
50.5,-1.850468473,15.58176458,0.072306081,-3.116795864,15.2575692,0.079297841
51,-1.887010169,15.57100762,0.072433359,-3.137951598,15.24862129,0.079471923
51.5,-1.923551865,15.56025067,0.072560637,-3.159107331,15.23967338,0.079646006
52,-1.961386147,15.55006263,0.072702238,-3.178009207,15.23157355,0.079838197
52.5,-1.999220429,15.5398746,0.07284384,-3.196911083,15.22347371,0.080030389
53,-2.037963804,15.53026226,0.072999082,-3.213593921,15.21620931,0.080240267
53.5,-2.076707178,15.52064993,0.073154324,-3.230276759,15.20894491,0.080450145
54,-2.116027598,15.5116171,0.073322495,-3.244788471,15.20250321,0.080677268
