Agemos,Male_L,Male_M,Male_S,Female_L,Female_M,Female_S
0,4.427825037,35.81366835,0.052172542,-1.298749689,34.7115617,0.046905108
0.5,4.310927464,37.19361054,0.047259148,-1.440271514,36.03453876,0.042999604
1,4.090252133,38.20051992,0.044103526,0.044103526,-1.510643931,37.00562932
1.5,3.869576802,39.20742929,0.040947903,-1.581016348,37.97671987,0.038067862
2,3.587584921,39.92988062,0.038987813,0.038987813,-1.587076367,38.67842309
2.5,3.305593039,40.65233195,0.037027722,-1.593136386,39.3801263,0.035079612
3,3.013091668,41.20875077,0.035695984,0.035695984,-1.557314407,39.92393182
3.5,2.720590297,41.76516959,0.034364245,-1.521492427,40.46773733,0.033096443
4,2.444319269,42.21316554,0.03341321,0.03341321,-1.458029171,40.90807371
4.5,2.16804824,42.66116148,0.032462175,-1.394565915,41.34841008,0.03170963
5,1.921756965,43.0330244,0.031763439,0.031763439,-1.313139652,41.71588039
5.5,1.675465689,43.40488731,0.031064702,-1.231713389,42.0833507,0.030709039
6,1.465313006,43.72049327,0.030543686,0.030543686,-1.139148009,42.39684337
6.5,1.255160322,44.03609923,0.03002267,-1.046582628,42.71033603,0.029974303
7,1.082850731,44.30853418,0.029632422,0.029632422,-0.94775766,42.98231243
7.5,0.91054114,44.58096912,0.029242173,-0.848932692,43.25428882,0.029430992
8,0.775025807,44.81929064,0.028951314,0.028951314,-0.747355908,43.49339264
8.5,0.639510474,45.05761215,0.028660454,-0.645779124,43.73249646,0.029030379
9,0.538244669,45.26834388,0.028447027,0.028447027,-0.543972268,43.94496242
9.5,0.436978864,45.4790756,0.0282336,-0.442165412,44.15742837,0.028739112
10,0.36662736,45.66706633,0.028081682,0.028081682,-0.341898736,44.34789816
10.5,0.296275856,45.85505706,0.027929764,-0.24163206,44.53836794,0.028533537
11,0.253191554,46.02400567,0.027827472,0.027827472,-0.144152923,44.71038678
11.5,0.210107251,46.19295427,0.027725179,-0.046673786,44.88240562,0.028396382
