Agemos,Male_L,Male_M,Male_S,Female_L,Female_M,Female_S
24,0.941523967,86.45220101,0.040321528,1.07244896,84.97555512,0.040791394
24.5,1.00720807,86.86160934,0.040395626,1.051272912,85.3973169,0.040859727
25,0.922229711,87.25704108,0.040486576,1.046612044,85.84379004,0.041000944
25.5,0.837251351,87.65247282,0.040577525,1.041951175,86.29026318,0.041142161
26,0.759372163,88.03786858,0.040650324,1.027271706,86.7237025,0.04124578
26.5,0.681492975,88.42326434,0.040723122,1.012592236,87.15714182,0.041349399
27,0.610136315,88.79937831,0.040778158,0.991567073,87.57658011,0.041424914
27.5,0.538779654,89.17549228,0.040833194,0.970541909,87.9960184,0.041500428
28,0.473238404,89.54295041,0.040871127,0.945835949,88.40076495,0.041555468
28.5,0.407697153,89.91040853,0.040909059,0.921129988,88.8055115,0.041610508
29,0.347229803,90.26974308,0.040930746,0.89467569,89.1951392,0.041651135
29.5,0.286762453,90.62907762,0.040952433,0.868221392,89.58476689,0.041691761
30,0.230625969,90.98075071,0.040958882,0.841382761,89.95909206,0.041722721
30.5,0.174489485,91.33242379,0.04096533,0.81454413,90.33341722,0.04175368
31,0.121967003,91.67684773,0.040957653,0.788251054,90.69248041,0.041778621
31.5,0.069444521,92.02127167,0.040949976,0.761957977,91.0515436,0.041803562
32,0.019861979,92.35882557,0.040929357,0.736809103,91.3955894,0.041825222
32.5,-0.029720564,92.69637946,0.040908737,0.711660228,91.7396352,0.041846882
33,-0.076986177,93.02742246,0.0408764,0.687991804,92.06908975,0.041867254
33.5,-0.124251789,93.35846546,0.040844062,0.664323379,92.39854429,0.041887626
34,-0.169770093,93.68334735,0.040801247,0.642304241,92.71399911,0.041908097
34.5,-0.215288396,94.00822923,0.040758431,0.620285102,93.02945392,0.041928568
35,-0.259571368,94.32729952,0.040706372,0.599920706,93.33163835,0.041950041
35.5,-0.30385434,94.64636981,0.040654312,0.57955631,93.63382278,0.041971514
36,-0.347386355,94.95998044,0.040594216,0.560768625,93.92358994,0.041994512
36.5,-0.390918369,95.27359106,0.04053412,0.54198094,94.21335709,0.042017509
37,-0.322859768,95.59417018,0.040553498,0.526705386,94.50489474,0.042061016
37.5,-0.254801167,95.91474929,0.040572876,0.511429832,94.79643239,0.042104522
38,-0.190227851,96.23104629,0.040594893,0.497114885,95.08517579,0.042152015
38.5,-0.125654535,96.54734328,0.04061691,0.482799937,95.37391918,0.042199507
39,-0.064410943,96.85962819,0.040641662,0.469160489,95.66042298,0.04224992
39.5,-0.00316735,97.17191309,0.040666414,0.455521041,95.94692677,0.042300333
40,0.05487243,97.48044518,0.040693941,0.442335665,96.23168795,0.042352779
40.5,0.11291221,97.78897727,0.040721467,0.429150288,96.51644912,0.042405225
41,0.16783359,98.09400279,0.040751756,0.416251007,96.79991062,0.042458966
41.5,0.222754969,98.3990283,0.040782045,0.403351725,97.08337211,0.042512706
42,0.274642548,98.70078584,0.040815044,0.390614982,97.36592641,0.042567136
42.5,0.326530126,99.00254338,0.040848042,0.377878239,97.6484807,0.042621565
43,0.375445843,99.30126019,0.040883662,0.365217051,97.93047325,0.042676187
43.5,0.42436156,99.599977,0.040919281,0.352555862,98.21246579,0.042730809
44,0.470357334,99.8958705,0.040957403,0.33991308,98.49419824,0.042785224
44.5,0.516353108,100.191764,0.040995524,0.327270297,98.77593069,0.042839638
45,0.559474207,100.4850419,0.041036005,0.31461288,99.05766402,0.042893525
45.5,0.602595306,100.7783198,0.041076485,0.301955463,99.33939735,0.042947412
46,0.642883035,101.0691805,0.041119162,0.289269657,99.62135478,0.043000519
46.5,0.683170764,101.3600411,0.041161838,0.276583851,99.9033122,0.043053626
47,0.720664585,101.6486735,0.041206531,0.263871149,100.1856819,0.043105758
47.5,0.758158406,101.9373058,0.041251224,0.251158446,100.4680516,0.043157889
48,0.792897571,102.2238897,0.041297741,0.238432221,100.7509893,0.043208898
48.5,0.827636736,102.5104735,0.041344257,0.225705996,101.033927,0.043259907
49,0.859661521,102.7951794,0.041392396,0.212988723,101.3175584,0.043309685
49.5,0.891686306,103.0798852,0.041440534,0.20027145,101.6011898,0.043359463
50,0.921038918,103.3628746,0.041490085,0.187592403,101.8856128,0.043407935
50.5,0.95039153,103.645864,0.041539635,0.174913356,102.1700358,0.043456406
51,0.977110768,103.9272885,0.041590386,0.162306719,102.4553226,0.043503522
51.5,1.003830006,104.208713,0.041641136,0.149700081,102.7406094,0.043550638
52,1.027982848,104.4887193,0.041692869,0.137203396,103.0268086,0.043596373
52.5,1.05213569,104.7687256,0.041744602,0.12470671,103.3130077,0.043642107
53,1.073751295,105.0474447,0.041797105,0.112359612,103.6001458,0.043686449
53.5,1.0953669,105.3261638,0.041849607,0.100012514,103.8872839,0.043730791
54,1.11450951,105.6037231,0.041902665,0.087855698,104.1753675,0.043773746
54.5,1.133652119,105.8812823,0.041955723,0.075698881,104.4634511,0.043816701
55,1.150378166,106.1577985,0.042009128,0.063773258,104.7524682,0.043858284
55.5,1.167104213,106.4343146,0.042062532,0.051847635,105.0414853,0.043899867
56,1.181474783,106.7098958,0.04211608,0.040193653,105.331407,0.043940102
56.5,1.195845353,106.9854769,0.042169628,0.02853967,105.6213287,0.043980337
57,1.207924793,107.2602225,0.042223124,0.017196762,105.9121104,0.044019254
57.5,1.220004233,107.534968,0.042276619,0.005853853,106.2028921,0.044058171
58,1.229860045,107.8089688,0.042329874,-0.005140009,106.4944752,0.044095806
58.5,1.239715856,108.0829695,0.042383129,-0.016133871,106.7860583,0.04413344
59,1.247418571,108.3563076,0.042435967,-0.026742526,107.0783712,0.044169829
59.5,1.255121285,108.6296457,0.042488804,-0.037351181,107.3706841,0.044206218
60,1.260744342,108.9023949,0.042541058,-0.047540564,107.6636436,0.044241403
60.5,1.266367398,109.1751441,0.042593311,-0.057729947,107.9566031,0.044276588
61,1.269987028,109.4473698,0.042644827,-0.06746831,108.2501155,0.04431061
61.5,1.273606657,109.7195954,0.042696342,-0.077206672,108.5436278,0.044344632
62,1.275301775,109.9913545,0.042746979,-0.086464751,108.83759,0.044377534
