Agemos,Male_L,Male_M,Male_S,Female_L,Female_M,Female_S
24,-0.20615245,12.6707633,0.108125811,-0.73533951,12.05503983,0.107399495
24.5,-0.216501213,12.74154396,0.108166006,-0.75220657,12.13455523,0.107740345
25,-0.228145851,12.81128336,0.108220356,-0.768220115,12.21279007,0.108108678
25.5,-0.239790488,12.88102276,0.108274706,-0.78423366,12.2910249,0.10847701
26,-0.253053171,12.94972329,0.108347866,-0.79916474,12.36785874,0.108878919
26.5,-0.266315853,13.01842382,0.108421025,-0.81409582,12.44469258,0.109280828
27,-0.281035411,13.08646021,0.108512898,-0.828015662,12.52045797,0.109712658
27.5,-0.295754969,13.1544966,0.10860477,-0.841935504,12.59622335,0.110144488
28,-0.311742169,13.22219664,0.108715226,-0.854912451,12.67121623,0.110602652
28.5,-0.327729368,13.28989667,0.108825681,-0.867889398,12.74620911,0.111060815
29,-0.344773418,13.35754538,0.108954553,-0.879996023,12.82069065,0.111541787
29.5,-0.361817468,13.42519408,0.109083424,-0.892102647,12.89517218,0.112022759
30,-0.379692778,13.49303761,0.109230503,-0.903410732,12.96937191,0.112523113
30.5,-0.397568087,13.56088113,0.109377581,-0.914718817,13.04357164,0.113023467
31,-0.41604417,13.62912986,0.109542614,-0.925297701,13.11769019,0.113539898
31.5,-0.434520252,13.69737858,0.109707646,-0.935876584,13.19180874,0.114056328
32,-0.453354504,13.7662124,0.109890365,-0.945800016,13.26601904,0.114585641
32.5,-0.472188756,13.83504622,0.110073084,-0.955723447,13.34022934,0.115114953
33,-0.491152692,13.90461461,0.110273169,-0.965053405,13.41468127,0.11565414
33.5,-0.510116627,13.97418299,0.110473254,-0.974383363,13.48913319,0.116193327
34,-0.529001103,14.0446077,0.110690327,-0.98318206,13.56395383,0.116739539
34.5,-0.547885579,14.1150324,0.1109074,-0.991980756,13.63877446,0.11728575
35,-0.566477845,14.18641429,0.111141094,-1.000310749,13.71406997,0.117836299
35.5,-0.58507011,14.25779618,0.111374787,-1.008640742,13.78936547,0.118386848
36,-0.603194918,14.33021184,0.111624651,-1.01655601,13.8652244,0.118939259
36.5,-0.621319726,14.40262749,0.111874514,-1.024471278,13.94108332,0.119491669
37,-0.638807856,14.47613682,0.112140101,-1.032022441,14.01757754,0.120043664
37.5,-0.656295986,14.54964614,0.112405687,-1.039573604,14.09407175,0.120595658
38,-0.673015508,14.6242897,0.112686471,-1.046806542,14.17125837,0.121145167
38.5,-0.689735029,14.69893326,0.112967254,-1.054039479,14.24844498,0.121694676
39,-0.705572709,14.77473739,0.113262682,-1.060993132,14.32636834,0.122239853
39.5,-0.721410388,14.85054151,0.11355811,-1.067946784,14.40429169,0.12278503
40,-0.736292806,14.92751647,0.113867533,-1.074660469,14.48298349,0.123324215
40.5,-0.751175223,15.00449143,0.114176956,-1.081374153,14.56167529,0.1238634
41,-0.765039751,15.08263799,0.114499719,-1.087877781,14.64115787,0.124395172
41.5,-0.778904279,15.16078454,0.114822482,-1.094381409,14.72064045,0.124926943
42,-0.791709889,15.2400935,0.115157887,-1.100701511,14.80092699,0.125450082
42.5,-0.804515498,15.31940246,0.115493292,-1.107021613,14.88121352,0.125973221
43,-0.816259377,15.3998528,0.115840535,-1.113180153,14.96230953,0.126486717
43.5,-0.828003255,15.48030313,0.116187777,-1.119338692,15.04340553,0.127000212
44,-0.838691814,15.56186811,0.116546042,-1.125353262,15.12530998,0.127503252
44.5,-0.849380372,15.64343309,0.116904306,-1.131367831,15.20721443,0.128006292
45,-0.859040011,15.72607922,0.117272727,-1.137251884,15.28992086,0.128498259
45.5,-0.86869965,15.80872535,0.117641148,-1.143135936,15.37262729,0.128990225
46,-0.877366821,15.89241496,0.118018845,-1.148899043,15.45612475,0.129470684
46.5,-0.886033992,15.97610456,0.118396541,-1.15466215,15.53962221,0.129951143
47,-0.893770935,16.06079325,0.118782548,-1.160310271,15.62389619,0.130419835
47.5,-0.901507878,16.14548194,0.119168555,-1.165958392,15.70817017,0.130888527
48,-0.908374734,16.23112461,0.119561938,-1.171494159,15.79320343,0.131345357
48.5,-0.915241589,16.31676727,0.11995532,-1.177029925,15.87823668,0.131802186
49,-0.921309681,16.40331594,0.120355118,-1.182450463,15.9640106,0.132247228
49.5,-0.927377772,16.4898646,0.120754916,-1.187871001,16.04978452,0.132692269
50,-0.932723796,16.57726995,0.121160169,-1.193177537,16.13627756,0.133125689
50.5,-0.938069819,16.66467529,0.121565421,-1.198484073,16.2227706,0.133559108
51,-0.94277388,16.75288739,0.121975174,-1.20366901,16.30996212,0.133981247
51.5,-0.94747794,16.84109948,0.122384927,-1.208853947,16.39715363,0.134403386
52,-0.951621817,16.93006847,0.122798245,-1.213909517,16.48502243,0.134814688
52.5,-0.955765694,17.01903746,0.123211562,-1.218965087,16.57289122,0.13522599
