Agemos,Male_L,Male_M,Male_S,Female_L,Female_M,Female_S
0,1.815151075,3.530203168,0.152385273,1.509187507,3.39918645,0.142106724
0.5,1.547523128,4.003106424,0.146025021,1.357944315,3.79752846,0.138075916
1,1.308159338,4.441315754,0.141251894,1.231741012,4.171152487,0.134904902
1.5,1.068795548,4.879525083,0.136478767,1.105537708,4.544776513,0.131733888
2,0.882384527,5.276206924,0.133078139,1.004067178,4.887680364,0.129313293
2.5,0.695973505,5.672888765,0.129677511,0.902596648,5.230584214,0.126892697
3,0.557894298,6.032140374,0.127197298,0.818359031,5.545272506,0.12495894
3.5,0.41981509,6.391391982,0.124717085,0.734121414,5.859960798,0.123025182
4,0.319840946,6.716614207,0.122878602,0.662178345,6.148774275,0.121433047
4.5,0.219866801,7.041836432,0.121040119,0.590235275,6.437587751,0.119840911
5,0.1486862,7.336130807,0.11965566,0.527313421,6.702719104,0.11850389
5.5,0.077505598,7.630425182,0.1182712,0.464391566,6.967850457,0.117166868
6,0.027798994,7.896688109,0.117212448,0.408277819,7.211352283,0.116030354
6.5,-0.02190761,8.162951035,0.116153695,0.352164071,7.454854109,0.11489384
7,-0.055674255,8.403891757,0.115332022,0.30133098,7.678645148,0.113921742
7.5,-0.0894409,8.644832479,0.114510349,0.250497889,7.902436186,0.112949644
8,-0.111425,8.862976148,0.113863756,0.2038727,8.108307282,0.112117167
8.5,-0.1334091,9.081119817,0.113217163,0.15724751,8.314178377,0.11128469
9,-0.14675225,9.278810061,0.112701702,0.114066618,8.5037984,0.1105742
9.5,-0.1600954,9.476500305,0.11218624,0.070885725,8.693418423,0.109863709
10,-0.167196125,9.655904003,0.111770388,0.030600398,8.868340139,0.109262245
10.5,-0.17429685,9.835307701,0.111354536,-0.00968493,9.043261854,0.10866078
11,-0.177007875,9.998421686,0.111015475,-0.047471465,9.204927713,0.108158495
11.5,-0.1797189,10.16153567,0.110676413,-0.085258,9.366593571,0.10765621
12,-0.17948645,10.31019483,0.110397524,-0.120833725,9.516341378,0.107245364
12.5,-0.179254,10.45885399,0.110118635,-0.15640945,9.666089185,0.106834517
13,-0.177219235,10.5947398,0.109887788,-0.18998407,9.805157624,0.106508801
13.5,-0.17518447,10.7306256,0.109656941,-0.22355869,9.944226063,0.106183085
14,-0.172253575,10.85527521,0.109465297,-0.255286075,10.07376002,0.105937164
14.5,-0.16932268,10.97992482,0.109273653,-0.28701346,10.20329397,0.105691242
15,-0.16621829,11.09474006,0.109114807,-0.317006325,10.32434989,0.105520437
15.5,-0.1631139,11.20955529,0.10895596,-0.34699919,10.4454058,0.105349631
16,-0.160411945,11.3158115,0.108825319,-0.375344185,10.55895639,0.105249693
16.5,-0.15770999,11.4220677,0.108694678,-0.40368918,10.67250698,0.105149754
17,-0.15586639,11.52092234,0.108589001,-0.430453975,10.77944628,0.10511671
