Height,Male_L,Male_M,Male_S,Female_L,Female_M,Female_S
45,1.44903689,2.289757735,0.149236691,0.666839915,2.305396985,0.168969897
45.5,1.31794165,2.38617219,0.144790131,0.699616404,2.403256702,0.157654766
46,1.17983612,2.486635056,0.140668666,0.723766044,2.504638593,0.148522215
46.5,1.041730589,2.587097922,0.1365472,0.747915684,2.606020484,0.139389663
47,0.899173136,2.692525258,0.132851639,0.749835211,2.711567283,0.132613443
47.5,0.756615683,2.797952593,0.129156077,0.751754737,2.817114082,0.125837223
48,0.614616635,2.907816192,0.125872788,0.721542356,2.926235092,0.120863086
48.5,0.472617587,3.017679791,0.122589498,0.691329975,3.035356101,0.115888948
49,0.33503676,3.131452687,0.119696093,0.625218766,3.14752471,0.112268778
49.5,0.197455933,3.245225583,0.116802688,0.559107556,3.259693318,0.108648608
50,0.067091556,3.362396675,0.114268826,0.460328342,3.374456744,0.106025656
50.5,-0.063272822,3.479567767,0.111734963,0.361549127,3.48922017,0.103402703
51,-0.1844683,3.599653708,0.109525685,0.238992665,3.60620783,0.101501177
51.5,-0.305663778,3.719739648,0.107316407,0.116436203,3.723195489,0.099599651
52,-0.416437271,3.842288935,0.105395469,-0.018036446,3.842115217,0.098215004
52.5,-0.527210764,3.964838222,0.10347453,-0.152509094,3.961034945,0.096830356
53,-0.626783514,4.089435849,0.10180695,-0.286993861,4.081652484,0.095817563
53.5,-0.726356263,4.214033476,0.100139369,-0.421478627,4.202270022,0.09480477
54,-0.814368381,4.340298051,0.098692733,-0.546433458,4.324373025,0.094063919
54.5,-0.902380499,4.466562625,0.097246097,-0.671388289,4.446476028,0.093323068
55,-0.978753663,4.594146647,0.095991269,-0.780680908,4.56984809,0.092784764
55.5,-1.055126826,4.721730669,0.09473644,-0.889973526,4.693220151,0.092246459
56,-1.120030135,4.850317207,0.093647595,-0.98090899,4.817624747,0.091859813
56.5,-1.184933443,4.978903744,0.092558749,-1.071844454,4.942029343,0.091473166
57,-1.238732626,5.108204249,0.0916132,-1.14425795,5.06721634,0.091198441
57.5,-1.292531809,5.237504753,0.09066765,-1.216671445,5.192403337,0.090923715
58,-1.33575246,5.367256834,0.089845544,-1.272015954,5.318116717,0.090728311
58.5,-1.378973111,5.497008915,0.089023438,-1.327360462,5.443830096,0.090532906
59,-1.412268111,5.626974411,0.088307428,-1.367811075,5.569821688,0.090389837
59.5,-1.445563111,5.756939907,0.087591418,-1.408261687,5.69581328,0.090246768
60,-1.469682161,5.8869033,0.086966355,-1.436156376,5.82185152,0.090133948
60.5,-1.49380121,6.016866693,0.086341291,-1.464051065,5.947889759,0.090021128
61,-1.509567019,6.146633634,0.085793945,-1.481578346,6.073765013,0.089920908
61.5,-1.525332827,6.276400575,0.085246598,-1.499105627,6.199640267,0.089820688
62,-1.533586238,6.405798058,0.0847655,-1.50815177,6.325168043,0.08971943
62.5,-1.541839648,6.535195541,0.084284401,-1.517197913,6.450695818,0.089618171
63,-1.543468847,6.664068954,0.083859525,-1.519338808,6.575716272,0.089505673
63.5,-1.545098045,6.792942366,0.083434649,-1.521479703,6.700736725,0.089393174
64,-1.540980682,6.921156396,0.083057345,-1.517980517,6.82511513,0.089262214
64.5,-1.536863318,7.049370425,0.08268004,-1.514481331,6.949493534,0.089131254
65,-1.527824706,7.17680971,0.082342942,-1.506343154,7.073119134,0.088977099
65.5,-1.518786093,7.304248994,0.082005843,-1.498204976,7.196744733,0.088822943
66,-1.505638192,7.430815495,0.081702627,-1.486218417,7.319529276,0.088642899
66.5,-1.49249029,7.557381995,0.081399411,-1.474231858,7.442313819,0.088462854
67,-1.475989108,7.682996066,0.081124759,-1.459020385,7.564190429,0.088255909
67.5,-1.459487925,7.808610136,0.080850107,-1.443808911,7.686067039,0.088048963
68,-1.440327676,7.933210201,0.080599594,-1.425884009,7.8069882,0.08781544
68.5,-1.421167427,8.057810266,0.08034908,-1.407959107,7.92790936,0.087581916
69,-1.400001397,8.181351332,0.080119029,-1.387740066,8.047846519,0.087323261
69.5,-1.378835366,8.304892397,0.079888977,-1.367521025,8.167783677,0.087064605
70,-1.356235014,8.427347533,0.079676446,-1.345382148,8.286725149,0.086783136
70.5,-1.333634661,8.549802669,0.079463915,-1.32324327,8.405666621,0.086501667
71,-1.310119904,8.671161211,0.079266554,-1.299538924,8.523616463,0.086200413
71.5,-1.286605147,8.792519752,0.079069193,-1.275834578,8.641566305,0.085899159
72,-1.262635332,8.912787348,0.078885187,-1.250924418,8.758543014,0.085581715
72.5,-1.238665517,9.033054944,0.07870118,-1.226014257,8.875519723,0.085264271
73,-1.214666339,9.15225181,0.078529138,-1.200285031,8.991554972,0.084934684
73.5,-1.19066716,9.271448675,0.078357096,-1.174555804,9.107590221,0.084605096
74,-1.166992021,9.38961114,0.078196059,-1.148439722,9.222727638,0.084267766
74.5,-1.143316882,9.507773605,0.078035021,-1.122323639,9.337865054,0.083930435
75,-1.120290143,9.624951481,0.077884336,-1.096312994,9.452159058,0.083590033
75.5,-1.097263403,9.742129356,0.077733651,-1.070302348,9.566453061,0.083249631
76,-1.075173608,9.858385767,0.077592947,-1.04495976,9.679967777,0.082911026
76.5,-1.053083813,9.974642178,0.077452242,-1.019617172,9.793482492,0.082572421
77,-1.032189043,10.09005274,0.077321377,-0.995580648,9.906290756,0.082240605
77.5,-1.011294273,10.20546331,0.077190512,-0.971544123,10.01909902,0.081908788
78,-0.991827252,10.32011527,0.077069537,-0.949520052,10.13128185,0.08158881
78.5,-0.972360231,10.43476723,0.076948562,-0.927495981,10.24346467,0.081268832
79,-0.954533059,10.54875858,0.076837683,-0.908271101,10.35510927,0.080965697
79.5,-0.936705887,10.66274993,0.076726804,-0.889046221,10.46675386,0.080662561
80,-0.920714312,10.77618846,0.076626353,-0.873445502,10.57795458,0.080381173
80.5,-0.904722736,10.88962699,0.076525901,-0.857844783,10.6891553,0.080099785
81,-0.890749917,11.00262938,0.076436306,-0.846722412,10.80001227,0.079844837
81.5,-0.876777097,11.11563177,0.076346711,-0.835600041,10.91086924,0.079589888
82,-0.864996833,11.22832262,0.076268474,-0.829803924,11.02148821,0.079365756
82.5,-0.853216568,11.34101346,0.076190236,-0.824007806,11.13210717,0.079141623
83,-0.843795987,11.45352429,0.076123908,-0.824340446,11.24259941,0.078952256
83.5,-0.834375406,11.56603512,0.076057579,-0.824673085,11.35309164,0.078762888
84,-0.827477131,11.67850344,0.07600374,-0.831847219,11.46357394,0.0786117
84.5,-0.820578855,11.79097176,0.075949901,-0.839021353,11.57405623,0.078460511
85,-0.816362658,11.90354002,0.075909142,-0.853606442,11.6846516,0.078350279
85.5,-0.81214646,12.01610828,0.075868383,-0.868191531,11.79524697,0.078240047
86,-0.810770429,12.12892291,0.075841284,-0.890589529,11.90608364,0.078172801
86.5,-0.809394398,12.24173753,0.075814185,-0.912987527,12.0169203,0.078105554
87,-0.811015644,12.35494789,0.075801299,-0.943360185,12.12813434,0.078082549
87.5,-0.812636889,12.46815824,0.075788413,-0.973732843,12.23934838,0.078059544
88,-0.817411801,12.58191561,0.075790244,-1.011985737,12.3510835,0.078081221
88.5,-0.822186712,12.69567298,0.075792075,-1.050238631,12.46281861,0.078102898
89,-0.830270794,12.81012956,0.07580906,-1.095994585,12.57522744,0.078168917
89.5,-0.838354876,12.92458613,0.075826044,-1.141750538,12.68763627,0.078234935
90,-0.849902185,13.03989398,0.075858532,-1.194342789,12.80088154,0.078344256
90.5,-0.861449493,13.15520182,0.075891019,-1.246935039,12.9141268,0.078453576
91,-0.876611699,13.27151184,0.075939248,-1.305408441,13.02838305,0.078604614
91.5,-0.891773904,13.38782185,0.075987476,-1.363881842,13.1426393,0.078755652
92,-0.91069582,13.50528303,0.076051556,-1.427058717,13.25809097,0.078946398
92.5,-0.929617736,13.6227442,0.076115636,-1.490235591,13.37354263,0.079137144
93,-0.95244334,13.74150203,0.076195516,-1.556719979,13.4903873,0.079365441
93.5,-0.975268944,13.86025986,0.076275395,-1.623204367,13.60723197,0.079593737
94,-1.002129719,13.9804561,0.076370847,-1.691477452,13.72567736,0.07985743
94.5,-1.028990493,14.10065234,0.076466299,-1.759750536,13.84412275,0.080121122
95,-1.060007474,14.22242378,0.076576891,-1.82823662,13.96438564,0.080418242
95.5,-1.091024455,14.34419522,0.076687482,-1.896722704,14.08464853,0.080715361
96,-1.126299701,14.46767331,0.076812557,-1.963901237,14.20694936,0.08104415
96.5,-1.161574946,14.59115139,0.076937631,-2.031079769,14.32925018,0.081372938
97,-1.201197842,14.71646073,0.077076272,-2.095532514,14.45381176,0.08173193
97.5,-1.240820737,14.84177007,0.077214912,-2.159985258,14.57837334,0.082090922
98,-1.28485007,14.96902899,0.07736594,-2.220489102,14.70541452,0.082478808
98.5,-1.328879402,15.0962879,0.077516968,-2.280992946,14.8324557,0.082866693
99,-1.377344433,15.2256076,0.077678923,-2.336559154,14.96218791,0.0832822
99.5,-1.425809463,15.35492729,0.077840877,-2.392125361,15.09192012,0.083697706
100,-1.478692528,15.48641276,0.078012027,-2.442055239,15.2245409,0.084139313
100.5,-1.531575592,15.61789822,0.078183177,-2.491985117,15.35716167,0.08458092
101,-1.588828784,15.75164643,0.078361491,-2.535836782,15.49285508,0.085046788
101.5,-1.646081976,15.88539464,0.078539804,-2.579688446,15.62854849,0.085512655
102,-1.70758223,16.02149833,0.078723041,-2.61730528,15.76747876,0.086000292
102.5,-1.769082483,16.15760201,0.078906277,-2.654922113,15.90640903,0.086487929
103,-1.834651865,16.2961481,0.079091986,-2.686352134,16.04872435,0.086994252
103.5,-1.900221246,16.43469418,0.079277694,-2.717782155,16.19103966,0.087500575
