Height,Male_L,Male_M,Male_S,Female_L,Female_M,Female_S
77,-0.999294215,10.27440527,0.077115837,-0.957840869,10.08653219,0.081713853
77.5,-0.979897716,10.38901871,0.076995353,-0.935908436,10.19868351,0.081394448
78,-0.961726449,10.50313386,0.076882432,-0.916059428,10.31042838,0.081087546
78.5,-0.943555181,10.61724901,0.076769511,-0.89621042,10.42217324,0.080780644
79,-0.927181481,10.73078904,0.076666943,-0.879816947,10.53345492,0.080494524
79.5,-0.91080778,10.84432907,0.076564374,-0.863423474,10.64473659,0.080208403
80,-0.896417048,10.95740896,0.07647257,-0.851336877,10.75565403,0.079947805
80.5,-0.882026316,11.07048885,0.076380766,-0.839250279,10.86657146,0.079687207
81,-0.869793992,11.18323169,0.076300214,-0.832322646,10.9772293,0.07945658
81.5,-0.857561667,11.29597453,0.076219662,-0.825395013,11.08788714,0.079225952
82,-0.847656022,11.40851054,0.076150906,-0.82444134,11.19839556,0.07902934
82.5,-0.837750377,11.52104655,0.07608215,-0.823487667,11.30890397,0.078832728
83,-0.830334788,11.63351212,0.076025766,-0.829242367,11.41937864,0.07867366
83.5,-0.822919198,11.74597768,0.075969382,-0.834997067,11.52985331,0.078514592
84,-0.818153897,11.85851436,0.07592596,-0.848061281,11.64041602,0.078395982
84.5,-0.813388595,11.97105103,0.075882537,-0.861125495,11.75097872,0.078277372
85,-0.811431937,12.08380451,0.075852661,-0.881940688,11.86175644,0.078201402
85.5,-0.809475279,12.19655799,0.075822785,-0.90275588,11.97253416,0.078125431
86,-0.810484536,12.30967715,0.075807015,-0.931532418,12.0836615,0.078093517
86.5,-0.811493792,12.4227963,0.075791244,-0.960308955,12.19478883,0.078061602
87,-0.815625496,12.53643211,0.075790094,-0.997006722,12.30640783,0.078074346
87.5,-0.8197572,12.65006791,0.075788944,-1.033704489,12.41802682,0.078087089
88,-0.827167066,12.76437246,0.075802867,-1.078003947,12.53028823,0.078144302
88.5,-0.834576932,12.87867701,0.07581679,-1.122303405,12.64254963,0.078201515
89,-0.845419369,12.99380248,0.075846154,-1.173595412,12.75561407,0.078302288
89.5,-0.856261805,13.10892794,0.075875517,-1.224887418,12.86867851,0.07840306
90,-0.870689052,13.22502554,0.075920585,-1.282271532,12.98271819,0.078545906
90.5,-0.885116299,13.34112314,0.075965652,-1.339655646,13.09675786,0.078688751
91,-0.903274621,13.45834232,0.07602656,-1.401998842,13.21195494,0.078871724
91.5,-0.921432943,13.5755615,0.076087468,-1.464342037,13.32715202,0.079054697
92,-0.943467105,13.69404851,0.0761642,-1.530283385,13.44370179,0.079275659
92.5,-0.965501267,13.81253552,0.076240931,-1.596224732,13.56025156,0.079496621
93,-0.99154491,13.93243297,0.076333297,-1.664265162,13.67835975,0.0797534
93.5,-1.017588552,14.05233041,0.076425662,-1.732305592,13.79646793,0.080010179
94,-1.047765273,14.17377613,0.076533271,-1.800873129,13.91634979,0.080300763
94.5,-1.077941994,14.29522185,0.07664088,-1.869440665,14.03623165,0.080591346
95,-1.112357833,14.41834842,0.076763123,-1.936999679,14.15810699,0.080913924
95.5,-1.146773671,14.54147499,0.076885365,-2.004558693,14.27998232,0.081236502
